,id,title,context,question,answers,context_length,answer_text,start_index,answer_pos,context_cat,answer_start_cat,answer_pos_cat
106140,572ec43bdfa6aa1500f8d366,Quran,"Moses, in 7:143, comes the way of those who are in love, he asks for a vision but his desire is denied, he is made to suffer by being commanded to look at other than the Beloved while the mountain is able to see God. The mountain crumbles and Moses faints at the sight of God's manifestation upon the mountain. In Qushayri's words, Moses came like thousands of men who traveled great distances, and there was nothing left to Moses of Moses. In that state of annihilation from himself, Moses was granted the unveiling of the realities. From the Sufi point of view, God is the always the beloved and the wayfarer's longing and suffering lead to realization of the truths.",Which Quranic verse describes Moses' encounter with God at the mountain?,"{'text': array(['7:143'], dtype=object), 'answer_start': array([10], dtype=int32)}",669,7:143,10,0.014947683109118086,"(600, 700]","[0, 150)","[0.0, 0.25)"
79747,5727caa02ca10214002d965e,USB,"Media Transfer Protocol (MTP) was designed by Microsoft to give higher-level access to a device's filesystem than USB mass storage, at the level of files rather than disk blocks. It also has optional DRM features. MTP was designed for use with portable media players, but it has since been adopted as the primary storage access protocol of the Android operating system from the version 4.1 Jelly Bean as well as Windows Phone 8 (Windows Phone 7 devices had used the Zune protocol which was an evolution of MTP). The primary reason for this is that MTP does not require exclusive access to the storage device the way UMS does, alleviating potential problems should an Android program request the storage while it is attached to a computer. The main drawback is that MTP is not as well supported outside of Windows operating systems.",Media Transfer Protocol was designed by who?,"{'text': array(['Microsoft'], dtype=object), 'answer_start': array([46], dtype=int32)}",831,Microsoft,46,0.05535499398315283,"(700, 1000]","[0, 150)","[0.0, 0.25)"
9124,5ad37275604f3c001a3fe2b4,Canadian_Armed_Forces,"This unified institution consists of sea, land, and air elements referred to as the Royal Canadian Navy (RCN), Canadian Army, and Royal Canadian Air Force (RCAF). Personnel may belong to either the Regular Force or the Reserve Force, which has four sub-components: the Primary Reserve, Supplementary Reserve, Cadet Organizations Administration and Training Service, and the Canadian Rangers. Under the National Defence Act, the Canadian Armed Forces are an entity separate and distinct from the Department of National Defence (the federal government department responsible for administration and formation of defence policy), which also exists as the civilian support system for the Forces.",What does RACF stand for?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",690,,-1,-0.0014492753623188406,"(600, 700]","[-1, 0)","[-0.25, 0.0)"
19394,56e7784537bdd419002c3ff4,National_Archives_and_Records_Administration,"Originally, each branch and agency of the U.S. government was responsible for maintaining its own documents, which often resulted in records loss and destruction. Congress established the National Archives Establishment in 1934 to centralize federal record keeping, with the Archivist of the United States as chief administrator. The National Archives was incorporated with GSA in 1949; in 1985 it became an independent agency as NARA (National Archives and Records Administration).",What year was the National Archives Establishment established in?,"{'text': array(['1934'], dtype=object), 'answer_start': array([223], dtype=int32)}",482,1934,223,0.46265560165975106,"(0, 600]","[150, 400)","[0.25, 0.5)"
2453,5ad21ef0d7d075001a42849b,Spectre_(2015_film),"Spectre (2015) is the twenty-fourth James Bond film produced by Eon Productions. It features Daniel Craig in his fourth performance as James Bond, and Christoph Waltz as Ernst Stavro Blofeld, with the film marking the character's re-introduction into the series. It was directed by Sam Mendes as his second James Bond film following Skyfall, and was written by John Logan, Neal Purvis, Robert Wade and Jez Butterworth. It is distributed by Metro-Goldwyn-Mayer and Columbia Pictures. With a budget around $245 million, it is the most expensive Bond film and one of the most expensive films ever made.",In what year was the thirty-fourth James Bond film produced?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",599,,-1,-0.001669449081803005,"(0, 600]","[-1, 0)","[-0.25, 0.0)"
12776,5ace334632bba1001ae49ddf,Sony_Music_Entertainment,"In the 1980s to early 1990s, there was a CBS imprint label in the US known as CBS Associated Records. Tony Martell, veteran CBS and Epic Records A&R Vice President was head of this label and signed artists including Ozzy Osbourne, the Fabulous Thunderbirds, Electric Light Orchestra, Joan Jett, and Henry Lee Summer. This label was a part of (Epic/Portrait/Associated) wing of sub labels at CBS which shared the same national and regional staff as the rest of Epic Records and was a part of the full CBS Records worldwide distribution system.",Ozzy Osbourne was the head of which label?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",542,,-1,-0.0018450184501845018,"(0, 600]","[-1, 0)","[-0.25, 0.0)"
120488,5ad4efba5b96ef001a10a6d9,Red,"Red is the international color of stop signs and stop lights on highways and intersections. It was standarized as the international color at the Vienna Convention on Road Signs and Signals of 1968. It was chosen partly because red is the brightest color in daytime (next to orange), though it is less visible at twilight, when green is the most visible color. Red also stands out more clearly against a cool natural backdrop of blue sky, green trees or gray buildings. But it was mostly chosen as the color for stoplights and stop signs because of its universal association with danger and warning.",What is orange considered during twilight?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",598,,-1,-0.0016722408026755853,"(0, 600]","[-1, 0)","[-0.25, 0.0)"
13828,5ace06bb32bba1001ae499a1,Russian_Soviet_Federative_Socialist_Republic,"On February 8, 1955, Malenkov was officially demoted to deputy Prime Minister. As First Secretary of the Central Committee of the Communist Party, Nikita Khrushchev's authority was significantly enhanced by Malenkov's demotion.",To what position was Malenkov promoted?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",227,,-1,-0.004405286343612335,"(0, 600]","[-1, 0)","[-0.25, 0.0)"
91020,5728cd6b4b864d1900164e6a,Race_(human_categorization),"When people define and talk about a particular conception of race, they create a social reality through which social categorization is achieved. In this sense, races are said to be social constructs. These constructs develop within various legal, economic, and sociopolitical contexts, and may be the effect, rather than the cause, of major social situations. While race is understood to be a social construct by many, most scholars agree that race has real material effects in the lives of people through institutionalized practices of preference and discrimination.",What contexts do racial social constructs develop within?,"{'text': array(['legal, economic, and sociopolitical'], dtype=object), 'answer_start': array([240], dtype=int32)}",567,"legal, economic, and sociopolitical",240,0.42328042328042326,"(0, 600]","[150, 400)","[0.25, 0.5)"
90593,5ad235c9d7d075001a4287eb,Mandolin,"When Cowan Powers and his family recorded their old-time music from 1924-1926, his daughter Orpha Powers was one of the earliest known southern-music artists to record with the mandolin. By the 1930s, single mandolins were becoming more commonly used in southern string band music, most notably by brother duets such as the sedate Blue Sky Boys (Bill Bolick and Earl Bolick) and the more hard-driving Monroe Brothers (Bill Monroe and Charlie Monroe). However, the mandolin's modern popularity in country music can be directly traced to one man: Bill Monroe, the father of bluegrass music. After the Monroe Brothers broke up in 1939, Bill Monroe formed his own group, after a brief time called the Blue Grass Boys, and completed the transition of mandolin styles from a ""parlor"" sound typical of brother duets to the modern ""bluegrass"" style. He joined the Grand Ole Opry in 1939 and its powerful clear-channel broadcast signal on WSM-AM spread his style throughout the South, directly inspiring many musicians to take up the mandolin. Monroe famously played Gibson F-5 mandolin, signed and dated July 9, 1923, by Lloyd Loar, chief acoustic engineer at Gibson. The F-5 has since become the most imitated tonally and aesthetically by modern builders.", Who was the earliest known northern music artist?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",1248,,-1,-0.0008012820512820513,"(1000, 5000]","[-1, 0)","[-0.25, 0.0)"
