,actual_answer,predicted_answer,answer_match
0,10 may 2010,10 may 2010,1.0
1,,1892,
2,south ribble,south ribble,1.0
3,,5,
4,arsenal of democracy,democracy,0.0
5,"architecture is to this day the basis of modern computer design,",computers,0.0
6,suleiman the magnificent,suleiman,0.0
7,dna analysis,dna,0.0
8,health and education,health and education,1.0
9,,soviet,
10,,1967,
11,melvyn c. goldstein,hugh edward richardson,0.0
12,,aristotle,
13,,rice,
14,four,four,1.0
15,orthodox,orthodox judaism,1.0
16,0 to 10,0 to 10,1.0
17,feminist,,0.0
18,lou piniella,lou piniella,1.0
19,,flint,
20,high quality,high,0.0
21,,,
22,,alloy is a mixture of metals or a mixture of a metal and another element. alloys are defined by metallic bonding character. an alloy may be a solid solution of metal elements (a single phase) or a mixture of metallic phases (two or more solutions). intermetallic compounds are alloys,
23,two,two,1.0
24,the 2nd century,2nd century,0.0
25,,two and a half months,
26,,good deeds,
27,,requirements,
28,,german,
29,justin berkmann,justin berkmann,1.0
30,"the carpathian mountains, the lower danube and the black sea",carpathian mountains,0.0
31,metaphors,"""wall of separation",0.0
32,development of programs for management of threatened and endangered species by state wildlife agencies,management,0.0
33,chris daughtry,chris daughtry,1.0
34,polish,poles,0.0
35,la dauphine,la dauphine,1.0
36,the mini-b usb connector,usb,0.0
37,,tg matrix,
38,eight,eight-day,1.0
39,railroad center of texas,railroad,0.0
40,rationalism,rationalism,1.0
41,nagarjuna sagar dam,nagarjuna sagar dam,1.0
42,,williams tower,
43,apologised for faking footage,faking footage,0.0
44,20th century,20th,0.0
45,,sikhism,
46,mount rainier,mount rainier,1.0
47,,eighth,
48,tuberculosis,tuberculosis,1.0
49,,unity,
50,the merge,merge,0.0
51,the szlachta,polish,0.0
52,phillip island,phillip island,1.0
53,media,media freedom,1.0
54,climbing,carnival,0.0
55,against life,"""against life",1.0
56,,cyberwarfare,
57,,"norman o. brown, acknowledges brown's observation that the seeming disorganization of quranic literary expression – its scattered or fragmented mode of composition in sells's phrase – is in fact a literary device capable of delivering profound effects as if the intensity of the prophetic message were shattering the vehicle of human language in which it was being communicated. sells also addresses the much-discussed repetitiveness of the quran, seeing this, too, as a literary device.</s><pad>",
58,chancel,chancel,1.0
59,2009,2009,1.0
60,outdoor life network,outdoor life network,1.0
61,,roku,
62,adlai stevenson,adlai stevenson,1.0
63,,hunter-gatherer,
64,,waste treatment,
65,,cardiff,
66,sola fide (by faith alone),sola fide (by faith alone,0.0
67,bitumen,tarmac,0.0
68,two,two,1.0
69,,"corrosion resistant, and weatherproof architectural material. roofs, flashings, rain gutters, downspouts, domes, spires, vaults, and doors have been made from copper for hundreds or thousands of years. copper's architectural use has been expanded in modern times to include interior and exterior wall cladding, building expansion joints, radio frequency shielding, and antimicrobial indoor products, such as attractive handrails, bathroom fixtures, and counter tops. some of copper's other important benefits as an architectural material include its low thermal movement, light weight, lightning protection, and its recyclability.</s><pad>",
70,grand architect,grand architect,1.0
71,it is richest in the tropics.,tropics,0.0
72,belarus,belarus,1.0
73,junk,junk,1.0
74,undescribed,undescribed,1.0
75,,industrialization,
76,code of federal regulations 28 cfr 26.4,code of federal regulations,0.0
77,old city,old city,1.0
78,the early 1950s,1950s,0.0
79,,"salons extended beyond the conventional cézanne-like subjects—the posed model, still-life and landscape—favored by picasso and braque to include large-scale modern-life subjects. aimed at a large public, these works stressed the use of multiple perspective and complex planar faceting for expressive effect while preserving the eloquence of subjects endowed with literary and philosophical connotations.</s><pad>",
80,,pasha (pas-ha); this also applies to some foreign names.</s><pad>,
81,arabian nights,arabian nights,1.0
82,"36,620","36,620",1.0
83,,"undergraduates, politics & policy publishes several times a week with material ranging from short summaries of events to extended research pieces. the organization is funded in part by the buffett center.</s><pad>",
84,the taxation of salt and alcohol begun by empress elizabeth in 1759 to complete her addition to the winter palace.,winter palace,0.0
85,14,14,1.0
86,"225,000","225,000",1.0
87,,10,
88,,shell,
89,,licentia docendi,
90,"up to 30,000",,0.0
91,china,china,1.0
92,foia disputes,foia,0.0
93,boomhuis,(boomhuis,1.0
94,in the post–world war ii era,post–world war ii,0.0
95,by examining historical records,historical,0.0
96,the guardian,guardian,0.0
97,1843,1843,1.0
98,crimes like murder,"murder. nevertheless, the holocaust is universally recognized to have been a genocide and the term, that had been coined the year before by raphael lemkin, appeared in the indictment of the 24 nazi leaders, count 3, which stated that all the defendants had ""conducted deliberate and systematic genocide—namely, the extermination of racial and national groups...""</s><pad>",0.0
99,12.7%,,0.0
100,lord chancellor,lord chancellor,1.0
101,30.8,30.8%,1.0
102,,19th century,
103,either for the purposes of evacuating the building or for security reasons,security,0.0
104,,,
105,,violence,
106,cash rents,cash,0.0
107,approximately 24%,24,0.0
108,180,180,1.0
109,,henry reuss,
110,emulation of the moral actions and attitudes that jesus demonstrated in his earthly ministry,imitation of his life,0.0
111,,classic,
