,id,title,context,question,answers,context_length,answer_text,start_index,answer_pos,context_cat,answer_pos_cat,answer_start_cat
64304,57268fcdf1498d1400e8e3dc,"Ann_Arbor,_Michigan","Ann Arbor was founded in 1824 by land speculators John Allen and Elisha Walker Rumsey. On 25 May 1824, the town plat was registered with Wayne County as ""Annarbour;"" this represents the earliest known use of the town's name. Allen and Rumsey decided to name it for their wives, both named Ann, and for the stands of Bur Oak in the 640 acres (260 ha) of land they purchased for $800 from the federal government at $1.25 per acre. The local Ojibwa named the settlement kaw-goosh-kaw-nick, after the sound of Allen's sawmill.",Who founded Ann Arbor?,"{'text': array(['John Allen and Elisha Walker Rumsey'], dtype=object), 'answer_start': array([50], dtype=int32)}",522,John Allen and Elisha Walker Rumsey,50,0.09578544061302682,"(0, 600]","[0.0, 0.25)","[0, 150)"
59471,5acfe0e577cf76001a68638a,Presbyterianism,"The Presbyterian Church in Vanuatu is the largest denomination in the country, with approximately one-third of the population of Vanuatu members of the church. The PCV was taken to Vanuatu by missionaries from Scotland. The PCV (Presbyterian Church of Vanuatu) is headed by a moderator with offices in Port Vila. The PCV is particularly strong in the provinces of Tafea, Shefa, and Malampa. The Province of Sanma is mainly Presbyterian with a strong Roman Catholic minority in the Francophone areas of the province. There are some Presbyterian people, but no organised Presbyterian churches in Penama and Torba, both of which are traditionally Anglican. Vanuatu is the only country in the South Pacific with a significant Presbyterian heritage and membership. The PCV is a founding member of the Vanuatu Christian Council (VCC). The PCV runs many primary schools and Onesua secondary school. The church is strong in the rural villages.",Who is the Vanuatu Christian Council a founding member of?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",935,,-1,-0.0010695187165775401,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
76747,5a8c7d6bfd22b3001a8d8918,Textual_criticism,"Brooke Foss Westcott (1825–1901) and Fenton J. A. Hort (1828–1892) published an edition of the New Testament in Greek in 1881. They proposed nine critical rules, including a version of Bengel's rule, ""The reading is less likely to be original that shows a disposition to smooth away difficulties."" They also argued that ""Readings are approved or rejected by reason of the quality, and not the number, of their supporting witnesses"", and that ""The reading is to be preferred that most fitly explains the existence of the others.""",When did Westcott and Hort meet?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",528,,-1,-0.001893939393939394,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
11327,56de7567cffd8e1900b4b942,Arnold_Schwarzenegger,"Schwarzenegger is considered among the most important figures in the history of bodybuilding, and his legacy is commemorated in the Arnold Classic annual bodybuilding competition. Schwarzenegger has remained a prominent face in the bodybuilding sport long after his retirement, in part because of his ownership of gyms and fitness magazines. He has presided over numerous contests and awards shows.",What bodybuilding competition is named after Schwarzenegger?,"{'text': array(['the Arnold Classic'], dtype=object), 'answer_start': array([128], dtype=int32)}",398,the Arnold Classic,128,0.32160804020100503,"(0, 600]","[0.25, 0.5)","[0, 150)"
22793,56f8a89c9b226e1400dd0d79,Southampton,"In January 2007, the average annual salary in the city was £22,267. This was £1,700 lower than the national average and £3,800 less than the average for the South East.",What was Southampton's average annual salary in January of 2007?,"{'text': array(['£22,267'], dtype=object), 'answer_start': array([59], dtype=int32)}",168,"£22,267",59,0.35119047619047616,"(0, 600]","[0.25, 0.5)","[0, 150)"
123645,57322dd1b9d445190005e89e,Party_leaders_of_the_United_States_House_of_Representatives,"In addition, the minority leader has a number of other institutional functions. For instance, the minority leader is sometimes statutorily authorized to appoint individuals to certain federal entities; he or she and the majority leader each name three Members to serve as Private Calendar objectors; he or she is consulted with respect to reconvening the House per the usual formulation of conditional concurrent adjournment resolutions; he or she is a traditional member of the House Office Building Commission; he or she is a member of the United States Capitol Preservation Commission; and he or she may, after consultation with the Speaker, convene an early organizational party caucus or conference. Informally, the minority leader maintains ties with majority party leaders to learn about the schedule and other House matters and forges agreements or understandings with them insofar as feasible.",What 2 commissions is the minority leader a member of?,"{'text': array(['House Office Building Commission; he or she is a member of the United States Capitol Preservation Commission'],
      dtype=object), 'answer_start': array([479], dtype=int32)}",902,House Office Building Commission; he or she is a member of the United States Capitol Preservation Commission,479,0.5310421286031042,"(700, 1000]","[0.5, 1.5)","[400, 5000)"
8737,5a11bc6f06e79900185c3537,Dutch_Republic,"The Dutch Republic, also known as the Republic of the Seven United Netherlands (Republiek der Zeven Verenigde Nederlanden), Republic of the United Netherlands or Republic of the Seven United Provinces (Republiek der Zeven Verenigde Provinciën), was a republic in Europe existing from 1581, when part of the Netherlands separated from Spanish rule, until 1795. It preceded the Batavian Republic, the Kingdom of Holland, the United Kingdom of the Netherlands, and ultimately the modern Kingdom of the Netherlands. Alternative names include the United Provinces (Verenigde Provinciën), Federated Dutch Provinces (Foederatae Belgii Provinciae), and Dutch Federation (Belgica Foederata).",What is also known as the Republic of the seventeen United Netherlands?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",682,,-1,-0.001466275659824047,"(600, 700]","[-0.25, 0.0)","[-1, 0)"
34057,5a104136decec900184755ee,Hanover,"In 1636 George, Duke of Brunswick-Lüneburg, ruler of the Brunswick-Lüneburg principality of Calenberg, moved his residence to Hanover. The Dukes of Brunswick-Lüneburg were elevated by the Holy Roman Emperor to the rank of Prince-Elector in 1692, and this elevation was confirmed by the Imperial Diet in 1708. Thus the principality was upgraded to the Electorate of Brunswick-Lüneburg, colloquially known as the Electorate of Hanover after Calenberg's capital (see also: House of Hanover). Its electors would later become monarchs of Great Britain (and from 1801, of the United Kingdom of Great Britain and Ireland). The first of these was George I Louis, who acceded to the British throne in 1714. The last British monarch who ruled in Hanover was William IV. Semi-Salic law, which required succession by the male line if possible, forbade the accession of Queen Victoria in Hanover. As a male-line descendant of George I, Queen Victoria was herself a member of the House of Hanover. Her descendants, however, bore her husband's titular name of Saxe-Coburg-Gotha. Three kings of Great Britain, or the United Kingdom, were concurrently also Electoral Princes of Hanover.",Who elevated the Duke of Brunswick to the rank of Prince?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",1169,,-1,-0.000855431993156544,"(1000, 5000]","[-0.25, 0.0)","[-1, 0)"
59285,5acfcb0777cf76001a68602c,Presbyterianism,"Early Presbyterians were careful to distinguish between the ""church,"" which referred the members, and the ""meeting house,"" which was the building in which the church met. Until the late 19th century, very few Presbyterians ever referred to their buildings as ""churches."" Presbyterians believed that meeting-houses (now called churches) are buildings to support the worship of God. The decor in some instances was austere so as not to detract from worship. Early Presbyterian meeting-houses were extremely plain. No stained glass, no elaborate furnishings, and no images were to be found in the meeting-house. The pulpit, often raised so as only to be accessible by a staircase, was the centerpiece of the building.",What was the centerpiece of the Presbyterian?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",714,,-1,-0.0014005602240896359,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
117969,5730cf87b54a4f140068cc78,Namibia,"South Africa occupied the colony in 1915 after defeating the German force during World War I and administered it from 1919 onward as a League of Nations mandate territory. Although the South African government desired to incorporate 'South-West Africa' into its territory, it never officially did so, although it was administered as the de facto 'fifth province', with the white minority having representation in the whites-only Parliament of South Africa, as well as electing their own local administration the SWA Legislative Assembly. The South African government also appointed the SWA administrator, who had extensive powers. Following the League's replacement by the United Nations in 1946, South Africa refused to surrender its earlier mandate to be replaced by a United Nations Trusteeship agreement, requiring closer international monitoring of the territory's administration (along with a definite independence schedule). The Herero Chief's Council submitted a number of petitions to the UN calling for it to grant Namibia independence during the 1950s. During the 1960s, when European powers granted independence to their colonies and trust territories in Africa, pressure mounted on South Africa to do so in Namibia. In 1966 the International Court of Justice dismissed a complaint brought by Ethiopia and Liberia against South Africa's continued presence in the territory, but the U.N. General Assembly subsequently revoked South Africa's mandate, while in 1971 the International Court of Justice issued an ""advisory opinion"" declaring South Africa's continued administration to be illegal.",Which council submitted petitions for Namibia's independence?,"{'text': array([""Herero Chief's Council""], dtype=object), 'answer_start': array([936], dtype=int32)}",1603,Herero Chief's Council,936,0.5839051777916406,"(1000, 5000]","[0.5, 1.5)","[400, 5000)"
