,id,title,context,question,answers,context_length,answer_text,start_index,answer_pos,answer_start_cat,answer_pos_cat,context_cat
88948,572874fe3acd2414000dfa19,Labour_Party_(UK),"In the 2010 general election on 6 May that year, Labour with 29.0% of the vote won the second largest number of seats (258). The Conservatives with 36.5% of the vote won the largest number of seats (307), but no party had an overall majority, meaning that Labour could still remain in power if they managed to form a coalition with at least one smaller party. However, the Labour Party would have had to form a coalition with more than one other smaller party to gain an overall majority; anything less would result in a minority government. On 10 May 2010, after talks to form a coalition with the Liberal Democrats broke down, Brown announced his intention to stand down as Leader before the Labour Party Conference but a day later resigned as both Prime Minister and party leader.",WHen did Brown announce his intention to stand down?,"{'text': array(['10 May 2010'], dtype=object), 'answer_start': array([545], dtype=int32)}",783,10 May 2010,545,0.6960408684546615,"[400, 5000)","[0.5, 1.5)","(700, 1000]"
19139,5a788290b73996001af5a6d2,Royal_Institute_of_British_Architects,"After the grant of the royal charter it had become known as the Royal Institute of British Architects in London, eventually dropping the reference to London in 1892. In 1934, it moved to its current headquarters on Portland Place, with the building being opened by King George V and Queen Mary.",When was the mention of London included in the Royal Institute's name?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",294,,-1,-0.003401360544217687,"[-1, 0)","[-0.25, 0.0)","(0, 600]"
35508,570ac1de4103511400d59999,Lancashire,"Lancashire has a mostly comprehensive system with four state grammar schools. Not including sixth form colleges, there are 77 state schools (not including Burnley's new schools) and 24 independent schools. The Clitheroe area has secondary modern schools. Sixth form provision is limited at most schools in most districts, with only Fylde and Lancaster districts having mostly sixth forms at schools. The rest depend on FE colleges and sixth form colleges, where they exist. South Ribble has the largest school population and Fylde the smallest (only three schools). Burnley's schools have had a new broom and have essentially been knocked down and started again in 2006. There are many Church of England and Catholic faith schools in Lancashire.",Who has the largest school population?,"{'text': array(['South Ribble'], dtype=object), 'answer_start': array([474], dtype=int32)}",745,South Ribble,474,0.636241610738255,"[400, 5000)","[0.5, 1.5)","(700, 1000]"
85703,5ad33f45604f3c001a3fdbc4,PlayStation_3,"At E3 2007, Sony was able to show a number of their upcoming video games for PlayStation 3, including Heavenly Sword, Lair, Ratchet & Clank Future: Tools of Destruction, Warhawk and Uncharted: Drake's Fortune; all of which were released in the third and fourth quarters of 2007. They also showed off a number of titles that were set for release in 2008 and 2009; most notably Killzone 2, Infamous, Gran Turismo 5 Prologue, LittleBigPlanet and SOCOM: U.S. Navy SEALs Confrontation. A number of third-party exclusives were also shown, including the highly anticipated Metal Gear Solid 4: Guns of the Patriots, alongside other high-profile third-party titles such as Grand Theft Auto IV, Call of Duty 4: Modern Warfare, Assassin's Creed, Devil May Cry 4 and Resident Evil 5. Two other important titles for PlayStation 3, Final Fantasy XIII and Final Fantasy Versus XIII, were shown at TGS 2007 in order to appease the Japanese market.",What Gran Turismo game was shown in 2007 but not released until after 2008?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",931,,-1,-0.0010741138560687433,"[-1, 0)","[-0.25, 0.0)","(700, 1000]"
80708,5728c740ff5b5019007da688,Detroit,"Known as the world's automotive center, ""Detroit"" is a metonym for that industry. Detroit's auto industry, some of which was converted to wartime defense production, was an important element of the American ""Arsenal of Democracy"" supporting the Allied powers during World War II. It is an important source of popular music legacies celebrated by the city's two familiar nicknames, the Motor City and Motown. Other nicknames arose in the 20th century, including City of Champions, beginning in the 1930s for its successes in individual and team sport; The D; Hockeytown (a trademark owned by the city's NHL club, the Red Wings); Rock City (after the Kiss song ""Detroit Rock City""); and The 313 (its telephone area code).","What ""Arsenal"" was Detroit a part of ?","{'text': array(['Arsenal of Democracy'], dtype=object), 'answer_start': array([208], dtype=int32)}",719,Arsenal of Democracy,208,0.28929068150208626,"[150, 400)","[0.25, 0.5)","(700, 1000]"
85544,57284a152ca10214002da259,John_von_Neumann,"While consulting for the Moore School of Electrical Engineering at the University of Pennsylvania on the EDVAC project, von Neumann wrote an incomplete First Draft of a Report on the EDVAC. The paper, whose premature distribution nullified the patent claims of EDVAC designers J. Presper Eckert and John Mauchly, described a computer architecture in which the data and the program are both stored in the computer's memory in the same address space. This architecture is to this day the basis of modern computer design, unlike the earliest computers that were ""programmed"" using a separate memory device such as a paper tape or plugboard. Although the single-memory, stored program architecture is commonly called von Neumann architecture as a result of von Neumann's paper, the architecture's description was based on the work of J. Presper Eckert and John William Mauchly, inventors of the ENIAC computer at the University of Pennsylvania.",What was the significance of EDVAC?,"{'text': array(['architecture is to this day the basis of modern computer design,'],
      dtype=object), 'answer_start': array([454], dtype=int32)}",940,"architecture is to this day the basis of modern computer design,",454,0.4829787234042553,"[400, 5000)","[0.25, 0.5)","(700, 1000]"
96226,572a130d6aef05140015523c,Ottoman_Empire,"During the 16th and 17th centuries, in particular at the height of its power under the reign of Suleiman the Magnificent, the Ottoman Empire was a multinational, multilingual empire controlling much of Southeast Europe, Western Asia, the Caucasus, North Africa, and the Horn of Africa. At the beginning of the 17th century the empire contained 32 provinces and numerous vassal states. Some of these were later absorbed into the Ottoman Empire, while others were granted various types of autonomy during the course of centuries.[dn 4]",Under the reign of who did the Ottoman empire control much of Southeastern Europe?,"{'text': array(['Suleiman the Magnificent'], dtype=object), 'answer_start': array([96], dtype=int32)}",533,Suleiman the Magnificent,96,0.1801125703564728,"[0, 150)","[0.0, 0.25)","(0, 600]"
55071,57262b48ec44d21400f3db8b,Mammal,"Molecular studies based on DNA analysis have suggested new relationships among mammal families over the last few years. Most of these findings have been independently validated by retrotransposon presence/absence data. Classification systems based on molecular studies reveal three major groups or lineages of placental mammals- Afrotheria, Xenarthra, and Boreoeutheria- which diverged from early common ancestors in the Cretaceous. The relationships between these three lineages is contentious, and all three possible different hypotheses have been proposed with respect to which group is basal with respect to other placentals. These hypotheses are Atlantogenata (basal Boreoeutheria), Epitheria (basal Xenarthra), and Exafroplacentalia (basal Afrotheria). Boreoeutheria in turn contains two major lineages- Euarchontoglires and Laurasiatheria.","Through Molecular studies, what was used to suggest new relationships among mammal families?","{'text': array(['DNA analysis'], dtype=object), 'answer_start': array([27], dtype=int32)}",846,DNA analysis,27,0.031914893617021274,"[0, 150)","[0.0, 0.25)","(700, 1000]"
22788,56f8a80b9e9bad19000a026d,Southampton,"Just over a quarter of the jobs available in the city are in the health and education sector. A further 19 per cent are property and other business and the third largest sector is wholesale and retail, which accounts for 16.2 percent. Between 1995 and 2004, the number of jobs in Southampton has increased by 18.5 per cent.",What sector provides about a quarter of Southampton's available jobs?,"{'text': array(['health and education'], dtype=object), 'answer_start': array([65], dtype=int32)}",323,health and education,65,0.20123839009287925,"[0, 150)","[0.0, 0.25)","(0, 600]"
107631,5a8a4b583b2508001a72a9ec,51st_state,"Poland has historically been staunchly pro-American, dating back to General Tadeusz Kościuszko and Casimir Pulaski's involvement in the American Revolution. This pro-American stance was reinforced following favorable American intervention in World War I (leading to the creation of an independent Poland) and the Cold War (culminating in a Polish state independent of Soviet influence). Poland contributed a large force to the ""Coalition of the Willing"" in Iraq. A quote referring to Poland as ""the 51st state"" has been attributed to James Pavitt, then Central Intelligence Agency Deputy Director for Operations, especially in connection to extraordinary rendition.","What had been Soviet stance towards the US, historically?","{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",665,,-1,-0.0015037593984962407,"[-1, 0)","[-0.25, 0.0)","(600, 700]"
